,original_tumor_region,Tumor_region
4,True,True
7,True,True
8,True,True
11,True,True
14,True,True
15,True,True
16,True,True
17,True,True
18,True,True
19,True,True
28,True,True
31,True,True
32,True,True
35,True,True
37,True,True
38,True,True
39,True,True
40,True,True
41,True,True
63,True,True
65,True,True
69,True,True
72,True,True
75,True,True
76,True,True
78,True,True
82,True,True
84,True,True
86,True,True
91,True,True
100,False,True
102,True,True
103,True,True
109,True,True
111,True,True
114,True,True
115,True,True
117,True,True
119,False,True
122,True,True
123,True,True
127,True,True
128,True,True
129,True,True
130,True,True
133,True,True
135,True,True
136,True,True
137,True,True
139,True,True
143,True,True
147,True,True
148,True,True
151,True,True
153,True,True
159,True,True
162,True,True
165,True,True
166,True,True
168,True,True
169,True,True
170,True,True
172,True,True
174,True,True
177,True,True
180,True,True
182,True,True
187,True,True
189,True,True
192,False,True
193,True,True
195,True,True
197,True,True
198,False,True
199,True,True
202,True,True
203,True,True
204,True,True
206,True,True
208,True,True
209,True,True
211,True,True
212,True,True
213,True,True
216,True,True
217,True,True
218,True,True
219,True,True
221,False,True
224,True,True
225,True,True
226,True,True
227,True,True
228,True,True
229,True,True
230,False,True
231,True,True
233,True,True
234,False,True
236,True,True
237,True,True
238,True,True
240,True,True
241,True,True
243,True,True
244,True,True
245,True,True
246,True,True
247,True,True
248,True,True
249,True,True
250,True,True
251,True,True
254,True,True
256,True,True
258,True,True
259,True,True
260,True,True
261,True,True
263,True,True
264,True,True
265,True,True
266,True,True
268,True,True
270,True,True
271,True,True
273,True,True
276,True,True
278,True,True
280,True,True
283,True,True
284,True,True
286,True,True
287,True,True
288,True,True
289,True,True
291,True,True
293,False,True
295,False,True
297,True,True
298,True,True
300,True,True
302,True,True
303,True,True
304,True,True
308,True,True
309,True,True
310,True,True
311,True,True
313,False,True
316,True,True
318,True,True
319,True,True
321,True,True
322,True,True
323,True,True
324,True,True
326,True,True
327,True,True
328,True,True
330,True,True
331,False,True
332,True,True
333,True,True
334,True,True
335,True,True
336,True,True
337,True,True
340,True,True
341,True,True
343,True,True
344,True,True
345,True,True
346,True,True
348,True,True
349,False,True
350,True,True
352,True,True
354,True,True
355,False,True
356,True,True
357,True,True
358,False,True
359,False,True
360,True,True
361,True,True
362,True,True
363,True,True
364,True,True
365,True,True
366,True,True
367,True,True
368,True,True
369,True,True
370,True,True
371,True,True
372,False,True
374,False,True
377,True,True
378,True,True
379,True,True
380,True,True
381,True,True
382,True,True
383,True,True
384,True,True
385,True,True
386,True,True
387,True,True
388,True,True
389,True,True
390,True,True
391,True,True
392,True,True
393,True,True
394,True,True
395,False,True
396,True,True
397,False,True
398,True,True
399,True,True
400,True,True
401,True,True
402,True,True
403,True,True
405,True,True
406,False,True
407,True,True
408,False,True
409,True,True
410,False,True
411,True,True
412,True,True
414,True,True
415,True,True
416,True,True
417,False,True
418,True,True
419,True,True
421,True,True
422,True,True
424,True,True
425,True,True
427,True,True
429,True,True
430,True,True
431,True,True
432,False,False
433,True,True
434,True,True
435,True,True
436,True,True
437,True,True
438,True,True
439,True,True
440,True,True
441,True,True
443,True,True
444,True,True
445,False,True
447,True,True
449,True,True
450,True,True
451,True,True
452,True,True
454,True,True
455,False,True
458,False,True
459,False,True
460,True,True
461,True,True
462,False,True
463,True,True
464,False,True
465,True,True
466,True,True
467,False,True
468,True,True
469,True,True
470,True,True
471,True,True
473,False,True
474,True,True
475,True,True
476,True,True
477,True,True
478,True,True
479,True,True
480,True,True
481,True,True
482,True,True
483,True,True
484,True,True
485,True,True
486,False,True
487,True,True
490,True,True
491,True,True
492,True,True
493,True,True
494,True,True
495,True,True
496,True,True
497,True,True
499,False,True
500,True,True
501,True,True
502,True,True
503,True,True
504,True,True
505,True,True
506,True,True
507,True,True
509,True,True
510,True,True
511,True,True
512,True,True
514,True,True
516,True,True
517,True,True
519,True,True
520,True,True
521,True,True
522,True,True
523,False,True
524,True,True
526,True,True
529,True,True
530,True,True
531,True,True
532,True,True
533,True,True
534,True,True
536,True,True
537,True,True
538,True,True
539,False,True
540,True,True
542,True,True
543,True,True
544,False,True
545,False,True
547,True,True
548,False,True
549,True,True
550,True,True
551,False,True
552,True,True
553,True,True
554,True,True
555,True,True
556,True,True
557,True,True
558,True,True
559,True,True
560,True,True
562,False,True
563,True,True
564,True,True
565,True,True
566,True,True
567,True,True
568,True,True
569,False,True
571,True,True
572,True,True
573,True,True
574,True,True
575,False,True
576,True,True
577,True,True
578,True,True
580,True,True
581,True,True
582,True,True
583,True,True
584,True,True
585,False,True
586,True,True
588,True,True
589,False,True
590,False,True
591,True,True
592,False,True
593,True,True
594,True,True
595,True,True
596,True,True
597,True,True
598,True,True
599,False,True
600,True,True
601,False,True
602,True,True
604,False,True
605,True,True
606,True,True
607,True,True
608,True,True
609,False,True
610,True,True
611,True,True
612,True,True
613,True,True
614,False,True
615,False,True
616,True,True
617,True,True
618,True,True
620,True,True
624,True,True
625,True,True
627,True,True
628,False,True
629,False,True
630,False,True
631,True,True
632,True,True
633,True,True
634,True,True
637,False,True
638,True,True
641,True,True
642,True,True
643,False,True
673,True,True
674,True,True
678,True,True
683,True,True
686,True,True
688,True,True
694,True,True
702,True,True
708,True,True
712,True,True
715,True,True
718,False,True
719,False,True
721,True,True
722,True,True
723,True,True
724,True,True
728,True,True
729,True,True
731,True,True
734,True,True
735,True,True
737,True,True
738,True,True
739,True,True
740,True,True
741,True,True
742,True,True
743,True,True
744,True,True
745,True,True
746,True,True
747,True,True
748,True,True
750,True,True
751,True,True
752,True,True
754,True,True
755,True,True
757,True,True
758,True,True
760,True,True
761,True,True
763,True,True
764,True,True
765,True,True
766,True,True
767,True,True
768,True,True
771,True,True
772,True,True
773,True,True
774,True,True
776,True,True
777,True,True
778,True,True
779,True,True
780,True,True
782,True,True
783,True,True
784,True,True
785,True,True
786,True,True
787,True,True
789,True,True
791,True,True
792,True,True
793,True,True
794,True,True
795,True,True
796,True,True
797,True,True
798,True,True
800,True,True
801,True,True
803,True,True
804,True,True
805,True,True
806,True,True
807,True,True
808,True,True
810,True,True
811,True,True
812,True,True
813,True,True
817,True,True
818,True,True
819,True,True
820,True,True
821,True,True
822,True,True
823,True,True
824,True,True
825,True,True
826,True,True
827,True,True
829,False,True
830,True,True
833,True,True
834,True,True
835,True,True
836,True,True
837,True,True
838,True,True
839,True,True
841,True,True
842,True,True
843,True,True
845,True,True
846,True,True
847,True,True
848,True,True
850,True,True
851,True,True
853,True,True
854,True,True
855,True,True
857,True,True
858,True,True
860,True,True
862,True,True
863,True,True
864,True,True
865,True,True
866,True,True
867,True,True
868,True,True
869,True,True
870,True,True
871,True,True
872,True,True
873,True,True
874,True,True
876,True,True
877,True,True
878,True,True
879,True,True
880,True,True
881,True,True
882,True,True
883,True,True
884,False,True
885,False,True
886,False,True
887,True,True
888,True,True
890,True,True
891,True,True
892,True,True
893,True,True
894,True,True
895,True,True
896,True,True
897,False,True
898,True,True
899,False,True
900,False,True
901,False,True
902,True,True
903,False,True
904,True,True
905,True,True
906,True,True
907,False,True
908,True,True
909,False,True
910,True,True
911,True,True
912,True,True
913,True,True
914,True,True
916,False,True
917,True,True
918,True,True
919,True,True
920,True,True
921,True,True
922,True,True
923,True,True
925,True,True
926,True,True
927,True,True
928,True,True
930,False,True
931,True,True
932,True,True
933,True,True
936,True,True
937,True,True
938,False,True
940,False,True
941,True,True
942,True,True
943,True,True
944,False,True
945,False,True
946,True,True
947,False,True
948,True,True
949,True,True
950,True,True
951,False,True
952,True,True
953,True,True
954,True,True
955,True,True
956,True,True
957,True,True
958,True,True
959,True,True
960,True,True
961,True,True
962,True,True
963,True,True
964,False,True
965,True,True
966,True,True
967,True,True
968,False,True
969,True,True
970,True,True
971,True,True
972,True,True
973,True,True
974,True,True
975,True,True
976,True,True
977,False,True
978,False,True
979,True,True
980,True,True
982,False,True
983,True,True
984,True,True
985,False,True
986,True,True
987,False,True
988,True,True
989,False,True
990,True,True
991,True,True
992,False,True
993,True,True
994,False,True
995,True,True
996,True,True
997,True,True
998,True,True
999,True,True
1000,False,True
1001,True,True
1002,True,True
1003,True,True
1004,True,True
1005,True,True
1006,True,True
1007,True,True
1008,True,True
1010,True,True
1011,True,True
1012,True,True
1013,False,True
1014,False,True
1015,True,True
1016,True,True
1017,True,True
1018,True,True
1019,True,True
1020,True,True
1021,True,True
1022,True,True
1023,False,True
1024,False,True
1026,False,True
1027,True,True
1029,False,True
1030,False,True
1031,True,True
1032,True,True
1033,True,True
1034,True,True
1035,True,True
1036,True,True
1037,True,True
1038,True,True
1039,False,True
1040,True,True
1041,False,True
1042,True,True
1043,False,True
1044,True,True
1045,True,True
1046,False,True
1047,True,True
1048,True,True
1049,True,True
1050,False,True
1051,True,True
1052,True,True
1053,False,True
1054,True,True
1055,False,True
1056,False,True
1057,False,True
1058,True,True
1059,False,True
1060,False,True
1061,False,True
1062,False,True
1063,False,True
1064,True,True
1065,True,True
1066,False,True
1067,True,True
1068,False,True
1069,False,True
1070,False,True
1071,False,True
1072,False,True
1073,True,True
1074,True,True
1075,False,True
1076,True,True
1077,False,True
1078,False,True
1079,False,True
1080,True,True
1081,True,True
1082,True,True
1083,False,True
1084,True,True
1085,False,True
1086,False,True
1087,True,True
1088,True,True
1089,False,True
1090,True,True
1091,False,True
1092,False,True
1093,False,True
1094,True,True
1095,True,True
1096,False,True
1097,False,True
1098,True,True
1099,False,True
1100,True,True
1101,True,True
1102,False,True
1103,True,True
1104,True,True
1105,False,True
1106,False,True
1107,True,True
1108,False,True
1109,True,True
1110,False,True
1111,True,True
1113,True,True
1114,True,True
1115,False,True
1116,True,True
1117,True,True
1118,False,True
1119,False,True
1120,True,True
1122,True,True
1124,True,True
